            ADDRESS,              NAME,                                                                   OCCUPANT LOADS          ,     DATE,COMMENTS / SPECIAL CONDITIONS ,
1st St.South 103 ,Gravity Lounge,150,4/6/2009,"2 public restrooms, single toilet in each",
1st St.South 1000,CRHA Community Ctr.,70,,"2 restrooms, 2 exits",
 2 nd St NW 121,Fellini's Restaurant,"                                                             64 1st floor, 29 2nd floor",1/4/2005,2nd floor has had dining since 1981 with 1 unenclosed egress stair,
2nd St. NW 201,McGuffey Art Center,"Max occupancy 600, classroom, gallery & basement occupant loads cannot exceed 49 individually (single MOE)",9/7/2017,"leave minimum 4' unobstructed space at all corridors, fire alarm & sprinkler systems must remain operational. ",
2nd st NW 202,Now & Zen,40,1/31/2012,,
2 nd St. SE. 109,2nd floor Yoga studio,30,3/10/2006,Single means of egress,
2nd st. S.E. 109,1st floor Atomic Burrito,49,2/5/2008,,
2 nd St. SE  313 Suite 100,The X Lounge (Rest.),"                               150 1st floor, 46 Mezzanine, 32 outside patio ",3/3/2006,Restaurant ,
2ne St. SE 522,Flex Space,49 1st floor,1/26/2015,,
2nd St SE 522, THREE NOTCH'D BREWERY,"Interior 389 (incl. 5 employees, Exterior 286",6/21/2017,"Shall post ""NOT AN EXIT"" signage over nonrequired exit doors with locks.",
2nd St SE 522 Unit D,,Standing only 390   chairs only-not fixed 279    tables & chairs 130,1/10/2018,Code Modification to extend common path of travel to 150 ft.,
2 nd St. S.E. 925,Al Dente,49,5/19/2008,,
2 nd st SE 929,Al Hamraa,99Tables and chairs 175 for standing room only,6/11/2008,occupant load decreases to 49 if next door restaurant is owned by a different person. ,
2 nd St. SE 967,Lutheran Family Services,60,1/14/2013,Number taken from RDP drawings.,
 2nd St. SE 981,Portico Church,Sanctuary (Main Floor Area) - 440; Mezzanine - 100; Platform - 40; Sound Booth - 10; Mezzanine Work Area (Room 202) - 76; Gallery/Fellowship Hall (Room 102) - 82; Kids' Space Assembly (Room 106) - 50.,9/25/2013, (Converted from theater to place of religious worship),
 2nd St. SE 983,Total Performance Gym,49,10/27/2003,Gymnasium,
2nd St. SW 108,Revolutionary Soup,48,5/27/1998,,
 2nd St. SW  213,BANG Restaurant,45,3/5/2004,9 maximum on 2nd floor (unenclosed stair),
3rd St. NE 108,Fleurie Restaurant,59 inside & 22 outside on front patio,6/26/2006,approval attached to CO for accessibility to outside seating area,
3rd St. NE 114,New City Arts Initiative,"120 Total,  120 standing or  90 Chairs allowance for 2 one day events per month, 15 max occupant load remainder of time",7/11/2017,"Single restroom, 2 means of egress with outswinging doors art gallery",
 3rd St. NE 208,,49,3/17/2004,Business use per 54.1-402,
4th St. NE 115,Peking Rest.,49,5/31/2006,Pre. USBC,
4th St NW 233 Suite Y,Jefferson School  Day Care,"Children max. occupant load 124, staff 31",12/12/2012,I-4 Occupant loads from plans YMCA Day Care (2012 State license specifies 86 children with 38 children 2.5 yrs and younger),
