,objectid,lat,lon,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,year_built,gross_area,story_height,number_of_stories,address
0,2252,38.0306367,-78.47063729999998,139128516,402,A 1,APT,,11TH,ST,NE,22902,R,PFAUTZ,2016-06-14T19:36:39.000Z,49774,570065000,Elementary Sch (Entire),1930.0,815.0,12.0,1.0,"402 11TH ST Charlottesville, VA"
1,2184,38.063599,-78.48892,21010074,243,,,,ZAN,RD,,22901,C,,,2184,560029200,Commercial,1963.0,1134.0,12.0,1.0,"243 ZAN RD Charlottesville, VA"
2,2186,38.02720745,-78.5038485749859,84061285,117,,,,NORTH BAKER,ST,,22903,R,,,2186,5600404A0,Mini-warehouse,2000.0,400.0,12.0,1.0,"117 NORTH BAKER ST Charlottesville, VA"
3,2187,38.03478405,-78.4880405952564,574316442,702,,,,WEST,ST,,22903,R,,,2187,5600404A0,Mini-warehouse,2000.0,21600.0,18.0,2.0,"702 WEST ST Charlottesville, VA"
4,2188,38.0340615,-78.4898759,600516730,302,,,,8TH,ST,NW,22903,R,,,2188,5600404A0,Mini-warehouse,2000.0,22376.0,18.0,2.0,"302 8TH ST Charlottesville, VA"
5,2190,38.040634000000004,-78.47008829999999,365414327,607,,,,WATSON,AVE,,22901,R,,,2190,5600404A0,Mini-warehouse,2000.0,400.0,12.0,1.0,"607 WATSON AVE Charlottesville, VA"
6,2191,38.0406176926374,-78.4705422585648,377114473,623,,,,WATSON,AVE,,22901,R,,,2191,5600404A0,Mini-warehouse,2000.0,21600.0,18.0,2.0,"623 WATSON AVE Charlottesville, VA"
7,2196,38.025881,-78.4605605,89929351,1502,,,,SHORT 18TH,ST,,22902,R,,,2196,560042000,Office Building,1977.0,1618.0,10.0,2.0,"1502 SHORT 18TH ST Charlottesville, VA"
8,2197,38.0339174,-78.47250820000001,600416766,519,,,,LEXINGTON,AVE,,22902,R,,,2197,560043200,Commercial,2013.0,20023.0,16.0,0.0,"519 LEXINGTON AVE Charlottesville, VA"
9,2199,38.017324,-78.484605,126975922,1453,,,,AVON,ST,,22902,R,,,2199,560044000,Office Building,1988.0,18000.0,12.0,2.0,"1453 AVON ST Charlottesville, VA"
10,2200,38.0362217,-78.4749724,526515959,632,,,,PARK,ST,,22902,R,,,2200,560044000,Office Building,1988.0,12000.0,24.0,1.0,"632 PARK ST Charlottesville, VA"
11,2201,38.0352971,-78.4749058,554116259,616,,,,PARK,ST,,22902,R,,,2201,560044000,Office Building,1988.0,49500.0,24.0,1.0,"616 PARK ST Charlottesville, VA"
12,2202,38.03513,-78.47572,560816297,611,,,,PARK,ST,,22902,R,,,2202,560044100,Office Building,1987.0,4000.0,10.0,1.0,"611 PARK ST Charlottesville, VA"
13,2203,38.0349939,-78.4747282,566816370,614,,,,PARK,ST,,22902,R,,,2203,560044100,Office Building,1987.0,4000.0,12.0,1.0,"614 PARK ST Charlottesville, VA"
14,2204,38.0337365392136,-78.4761936627322,586416609,532,,,,PARK,ST,,22902,R,,,2204,560044100,Office Building,1987.0,1165.0,10.0,1.0,"532 PARK ST Charlottesville, VA"
15,2205,38.03425,-78.47479899999998,586916630,620,,,,FARISH,ST,,22902,R,,,2205,5600442A0,Office Building,1987.0,1422.0,11.0,1.0,"620 FARISH ST Charlottesville, VA"
16,2206,38.044189200000005,-78.46664709999999,269113277,1011,,,,COTTONWOOD,RD,,22901,R,,,2206,5600442A0,Office Building,1987.0,1493.0,11.0,1.0,"1011 COTTONWOOD RD Charlottesville, VA"
17,2317,38.0512745,-78.4945728,147711711,1310,,,,BLUE RIDGE,RD,,22903,R,,,2317,580289100,Industrial Light Manufacturing,1994.0,41088.0,12.0,2.0,"1310 BLUE RIDGE RD Charlottesville, VA"
18,2318,38.0154809,-78.5050495583517,131796573,402,,,,HARRIS,RD,,22903,R,,,2318,580319000,Apartments 1-10 units,1920.0,,,,"402 HARRIS RD Charlottesville, VA"
19,2046,38.021495,-78.51653999999998,107173547,2421,G,APT,,JEFFERSON PARK,AVE,,22903,R,,,2046,540010000,Office Building,1921.0,1416.0,8.0,1.5,"2421 JEFFERSON PARK AVE Charlottesville, VA"
20,2049,38.021448,-78.5131045,110343782,111,B,APT,,HAMMOND,ST,,22903,R,,,2049,540018000,Medical Office,1993.0,8860.0,10.0,2.0,"111 HAMMOND ST Charlottesville, VA"
21,2069,38.0410604,-78.47819840000001,359014194,1717,B,STE,,ALLIED,ST,,22903,C,,,2069,540107200,Apartments over 20 units,1972.0,18024.0,12.0,3.0,"1717 ALLIED ST Charlottesville, VA"
22,2228,38.0288473,-78.47301879999998,768417160,210,31,UNIT,,10TH,ST,NE,22902,R,,,2228,570007400,Commercial,1995.0,1440.0,14.0,1.0,"210 10TH ST Charlottesville, VA"
23,2229,38.0288473,-78.47301879999998,768417160,210,32,UNIT,,10TH,ST,NE,22902,R,,,2229,570007900,Commercial,1975.0,900.0,14.0,1.0,"210 10TH ST Charlottesville, VA"
24,2272,38.022176400000006,-78.51516889999998,107043390,2417,E,APT,,JEFFERSON PARK,AVE,,22903,R,,,2272,570131000,Apartments 1-10 units,1972.0,2876.0,12.0,2.0,"2417 JEFFERSON PARK AVE Charlottesville, VA"
25,2280,38.021448,-78.5131045,110343782,111,A,APT,,HAMMOND,ST,,22903,R,,,2280,580002000,Office Building,1885.0,8561.0,12.0,3.5,"111 HAMMOND ST Charlottesville, VA"
26,2286,38.0400502,-78.48831380000001,382814518,925,A,APT,,HENRY,AVE,,22903,R,,,2286,580129000,Barber Shop,1961.0,625.0,12.0,1.0,"925 HENRY AVE Charlottesville, VA"
27,2287,38.0400502,-78.48831380000001,382814518,925,B,APT,,HENRY,AVE,,22903,R,,,2287,580144000,Restaurant,1961.0,1267.0,12.0,1.0,"925 HENRY AVE Charlottesville, VA"
28,2216,38.041910200000004,-78.5018541,339014003,44,2,#,,UNIVERSITY,CIR,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50768,560044300,Storage Warehouse,1987.0,16420.0,22.0,1.0,"44 UNIVERSITY CIR Charlottesville, VA"
29,2218,38.0385527,-78.50021269999999,442915112,1534,B,#,,VIRGINIA,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50769,560044A00,Office Building,0.0,31220.0,40.0,1.0,"1534 VIRGINIA AVE Charlottesville, VA"
30,2220,38.0310732,-78.471598,68128508,400,B,#,,10TH,ST,NE,22902,,PFAUTZ,2016-11-28T17:23:02.000Z,50770,560045000,Office Building,1990.0,3168.0,12.0,1.0,"400 10TH ST Charlottesville, VA"
31,2226,38.0432498333333,-78.4942101666667,303813655,821,A,#,,CABELL,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50771,560109000,Apartments over 20 units,2013.0,3120.0,9.0,1.0,"821 CABELL AVE Charlottesville, VA"
32,2230,38.039718,-78.4845402,397014643,802,4,#,,CYNTHIANNA,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50772,570007900,Commercial,1975.0,768.0,10.0,1.0,"802 CYNTHIANNA AVE Charlottesville, VA"
33,2231,38.039718,-78.4845402,397014643,802,B,#,,CYNTHIANNA,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50773,570017000,Service Repair Garage,1973.0,6136.0,12.0,1.0,"802 CYNTHIANNA AVE Charlottesville, VA"
34,2279,38.0304142,-78.4872613,7011249,416,I,#,W,MAIN,ST,,22903,C,PFAUTZ,2016-11-28T17:23:00.000Z,50793,580001000,Office Building,1942.0,721.0,10.0,1.0,"416 MAIN ST Charlottesville, VA"
35,2308,38.0231248,-78.4721524485145,102562856,1102,1,#,,LEONARD,ST,,22902,R,PFAUTZ,2016-11-28T17:23:00.000Z,50805,580259000,Commercial,1912.0,780.0,10.0,1.0,"1102 LEONARD ST Charlottesville, VA"
36,2008,38.02800310000001,-78.51135190000001,8020992,1821,7,#,,JEFFERSON PARK,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50720,530274000,Medical Office,1956.0,1975.0,12.0,1.0,"1821 JEFFERSON PARK AVE Charlottesville, VA"
37,2016,38.042313899999996,-78.4617181,320313813,1033,1/2,#,,LOCUST,AVE,,22901,R,PFAUTZ,2016-11-28T17:23:02.000Z,50721,530281000,Office Building,1923.0,305.0,10.0,1.0,"1033 LOCUST AVE Charlottesville, VA"
38,2023,38.033823100000006,-78.47939020000003,605316778,415,1,#,,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50723,530299000,Medical Office,1998.0,2978.0,10.0,2.0,"415 2ND ST Charlottesville, VA"
39,2030,38.04743765,-78.487678841603,195312410,1608,1/2,#,,OXFORD,RD,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50725,530299500,Medical Office,1989.0,1126.0,10.0,1.0,"1608 OXFORD RD Charlottesville, VA"
40,2032,38.026771979289,-78.4620708561356,86309186,1413,B,#,,SHORT 18TH,ST,,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50727,530299700,Office,1989.0,1274.0,10.0,1.0,"1413 SHORT 18TH ST Charlottesville, VA"
41,2034,38.0570641,-78.501143,99711080,1243,B7,#,,CEDARS,CT,,22903,R,PFAUTZ,2016-11-28T17:23:00.000Z,50728,530299900,Office,1989.0,762.0,10.0,1.0,"1243 CEDARS CT Charlottesville, VA"
42,2038,39.78818,-85.612594,596916712,440,B,#,,2ND,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50730,540004000,Office Building,1890.0,,,,"440 2ND ST Charlottesville, VA"
43,2040,38.0331434,-78.4749946,626116921,508,2,#,,7TH,ST,NE,22902,R,PFAUTZ,2016-11-28T17:23:01.000Z,50732,540005000,Medical Office,1948.0,1578.0,8.0,1.5,"508 7TH ST Charlottesville, VA"
44,2041,38.0241316,-78.462823,1013120017,1518,102,#,E,MARKET,ST,,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50733,540005000,Medical Office,1948.0,65.0,8.0,1.0,"1518 MARKET ST Charlottesville, VA"
45,2045,38.0417508196529,-78.4934693548574,357814305,762,B,#,,MADISON,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50734,540009000,Office Building,1939.0,1588.0,10.0,1.9,"762 MADISON AVE Charlottesville, VA"
46,2047,38.0635625,-78.49301949999999,33517170,1924,1,#,,SWANSON,DR,,22901,R,PFAUTZ,2016-11-28T17:23:02.000Z,50735,540010000,Office Building,1921.0,847.0,8.0,1.0,"1924 SWANSON DR Charlottesville, VA"
47,2051,38.039998,-78.487985,388214567,921,1,#,,HENRY,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:00.000Z,50737,540019000,Office Building,1927.0,362.0,8.0,1.0,"921 HENRY AVE Charlottesville, VA"
48,2053,38.0360726,-78.4997347255967,367514279,604,A,#,,15TH,ST,NW,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50739,540020000,Office Building,1900.0,2758.0,10.0,2.0,"604 15TH ST Charlottesville, VA"
49,2054,38.0256935,-78.4741879979642,90379369,216,A,#,,DOUGLAS,AVE,,22902,R,PFAUTZ,2016-11-28T17:23:02.000Z,50740,540020000,Office Building,1900.0,482.0,10.0,1.0,"216 DOUGLAS AVE Charlottesville, VA"
50,2063,38.02612915,-78.5101460428512,88691567,205,A,#,,SHAMROCK,RD,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50741,540057000,Office Building,1947.0,868.0,12.0,1.0,"205 SHAMROCK RD Charlottesville, VA"
51,2064,38.01648145,-78.5178813572853,129256261,2709,B,#,,ETON,RD,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50742,540058000,Retail Store,1920.0,3138.0,10.0,1.0,"2709 ETON RD Charlottesville, VA"
52,2071,38.0224873,-78.5219010910706,104473218,235,A,#,,STRIBLING,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50744,540112000,Office Building,1920.0,199.0,8.0,1.0,"235 STRIBLING AVE Charlottesville, VA"
53,2072,38.02363755,-78.5137941012001,99442589,111,B,#,,RAYMOND,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50745,540113000,Commercial,1954.0,349.0,8.0,1.0,"111 RAYMOND AVE Charlottesville, VA"
54,2171,38.0356851,-78.491907521864,542616142,911,B,#,,PAOLI,ST,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50760,560008000,Multiple Commercial Use,1966.0,39540.0,14.0,1.0,"911 PAOLI ST Charlottesville, VA"
55,2180,38.04172003744,-78.4941360655278,357814149,728,B,#,,MADISON,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50761,560028000,Storage Warehouse,1945.0,3254.0,12.0,2.0,"728 MADISON AVE Charlottesville, VA"
56,2181,38.0413468,-78.49361640000001,357814149,726,C,#,,MADISON,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50762,560028000,Storage Warehouse,1945.0,3200.0,12.0,1.0,"726 MADISON AVE Charlottesville, VA"
57,2193,38.0429573,-78.50018859999999,299313611,611,215,#,,RUGBY,RD,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50763,560042000,Office Building,1977.0,3200.0,10.0,1.0,"611 RUGBY RD Charlottesville, VA"
58,2212,38.02193585,-78.5183044011851,107803496,2411,A,#,,SUNSET,RD,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50764,5600442D0,Commercial,1987.0,1091.0,12.0,1.0,"2411 SUNSET RD Charlottesville, VA"
59,2213,38.02328715,-78.5139559764891,102012777,108,B,#,,RAYMOND,AVE,,22903,R,PFAUTZ,2016-11-28T17:23:02.000Z,50765,5600442D0,Commercial,1987.0,1191.0,12.0,1.0,"108 RAYMOND AVE Charlottesville, VA"
60,2006,38.028643,-78.5090309,7671708,1800,22,UNIT,,JEFFERSON PARK,AVE,,22903,R,,,2006,530272000,Office Building,1890.0,104.0,10.0,1.0,"1800 JEFFERSON PARK AVE Charlottesville, VA"
61,2062,38.0149785,-78.5150053735045,133336715,230,B,APT,,OLD LYNCHBURG,RD,,22903,R,,,2062,540055000,Office Building,1947.0,1302.0,12.0,1.0,"230 OLD LYNCHBURG RD Charlottesville, VA"
62,2346,38.03790479999999,-78.4612741,46237889,1217,A,APT,,RIVER VISTA,AVE,,22901,R,,,2346,610002000,Apartments over 20 units,1924.0,13008.0,8.0,3.0,"1217 RIVER VISTA AVE Charlottesville, VA"
63,2354,38.0382152817247,-78.4622404691273,46487892,1219,B,APT,,RIVER VISTA,AVE,,22901,R,,,2354,610049500,Office Building,1992.0,2220.0,14.0,1.0,"1219 RIVER VISTA AVE Charlottesville, VA"
