OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,created_user,created_date,last_edited_user,last_edited_date,MasterAddressID
2252,139128516,402,A 1,APT, ,11TH,ST,NE,22902, ,R,,,PFAUTZ,2016-06-14T19:36:39.000Z,49774
2644,406414763,418,001,APT, ,17TH,ST,NW,22903, ,R,,,PFAUTZ,2017-05-23T19:10:05.000Z,56339
2184,21010074,243,, , ,ZAN,RD, ,22901, ,C,,,,,2184
2186,84061285,117,, , ,NORTH BAKER,ST, ,22903, ,R,,,,,2186
2187,574316442,702,, , ,WEST,ST, ,22903, ,R,,,,,2187
2188,600516730,302,, , ,8TH,ST,NW,22903, ,R,,,,,2188
2190,365414327,607,, , ,WATSON,AVE, ,22901, ,R,,,,,2190
2191,377114473,623,, , ,WATSON,AVE, ,22901, ,R,,,,,2191
2196,89929351,1502,, , ,SHORT 18TH,ST, ,22902, ,R,,,,,2196
2197,600416766,519,, , ,LEXINGTON,AVE, ,22902, ,R,,,,,2197
2199,126975922,1453,, , ,AVON,ST, ,22902, ,R,,,,,2199
2200,526515959,632,, , ,PARK,ST, ,22902, ,R,,,,,2200
2201,554116259,616,, , ,PARK,ST, ,22902, ,R,,,,,2201
2202,560816297,611,, , ,PARK,ST, ,22902, ,R,,,,,2202
2203,566816370,614,, , ,PARK,ST, ,22902, ,R,,,,,2203
2204,586416609,532,, , ,PARK,ST, ,22902, ,R,,,,,2204
2205,586916630,620,, , ,FARISH,ST, ,22902, ,R,,,,,2205
2206,269113277,1011,, , ,COTTONWOOD,RD, ,22901, ,R,,,,,2206
2317,147711711,1310,, , ,BLUE RIDGE,RD, ,22903, ,R,,,,,2317
2318,131796573,402,, , ,HARRIS,RD, ,22903, ,R,,,,,2318
2046,107173547,2421,G,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,2046
2049,110343782,111,B,APT, ,HAMMOND,ST, ,22903, ,R,,,,,2049
