RecordID_Int,ParcelNumber,UseCode,YearBuilt,GrossArea,StoryHeight,NumberOfStories
1,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
2,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
3,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
4,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
5,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
6,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
7,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
8,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
9,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
10,010001000,Comm. Shopping Ctr.,1957,497658,12,1.00
11,010001100,Comm. Shopping Ctr.,1995,20837,14,1.00
12,010001200,Convenience Market,1996,1240,12,1.00
13,010001300,Neighborhood Shopping Ctr.,1982,1330,12,1.00
14,010001300,Neighborhood Shopping Ctr.,1982,3434,12,1.00
15,010001400,Motel,1996,70761,12,3.00
16,010001400,Motel,1996,4590,12,1.00
17,010001500,Retail Store,1983,5103,12,1.00
18,010001600,Multipurpose Bldg (College),1972,166128,12,1.00
19,010001600,Multipurpose Bldg (College),1972,88621,12,2.00
20,010001600,Multipurpose Bldg (College),1972,166128,12,1.00
21,010001600,Multipurpose Bldg (College),1972,88621,12,2.00
22,010001700,Transit Warehouse,1963,53618,17,1.00
23,010001900,Office Building,1985,12150,12,1.50
24,010001900,Office Building,1985,3248,12,2.00
25,010001900,Office Building,1985,1020,12,1.00
26,010004000,Neighborhood Shopping Ctr.,1952,2634,12,1.00
27,010004000,Neighborhood Shopping Ctr.,1952,1264,12,1.00
28,010004000,Neighborhood Shopping Ctr.,1952,8502,10,1.00
29,010004000,Neighborhood Shopping Ctr.,1952,11545,10,1.00
30,010004100,Retail Store,1964,1699,14,1.00
31,010004300,Service Repair Garage,1971,4414,16,1.00
32,010004400,Condominium Commercial,1963,1308,14,1.00
33,010004500,Condominium Commercial,1963,1550,14,1.00
34,010018000,Office Building,1950,43165,12,1.00
35,010048000,Office Building,1967,16620,12,3.00
36,010048200,Office Building,1967,16620,12,3.00
37,020011000,Apartments 1-10 units,1951,,,
38,020055000,Apartments 1-10 units,1920,7974,10,3.00
39,030092000,Church,1973,4060,12,2.00
40,030092000,Church,1973,4955,12,1.00
41,030095000,Clubhouse,1968,2844,12,1.00
42,030095000,Clubhouse,1968,1020,12,1.00
43,030095000,Clubhouse,1968,480,12,1.00
44,030107000,Church,1947,1686,12,1.00
45,030118000,Church,1965,3143,20,1.00
46,030123000,Apartments 1-10 units,1971,3896,10,2.00
47,030125000,Apartments over 20 units,1965,84380,12,2.00
48,030125200,Apartments over 20 units,1970,137387,12,3.00
49,0301252A0,Clubhouse,2003,5752,10,2.00
50,0301252A0,Clubhouse,2003,6200,12,2.00
51,030126000,Apartments over 20 units,1970,36055,10,3.50
52,030126100,Apartments over 20 units,1971,35850,12,3.00
53,030128000,Apartments 1-10 units,1998,6318,12,2.50
54,030128000,Apartments 1-10 units,1998,137,12,1.00
55,030128000,Apartments 1-10 units,1998,1460,12,2.00
56,040015000,Market,1948,1470,12,1.00
57,040041000,Office Building,1926,2044,12,1.50
58,040042000,Office Building,1940,12550,16,1.00
59,040046000,Church,1939,2126,12,1.00
60,040098000,Church,1920,761,8,1.00
61,040118000,Elementary Sch (Entire),1925,59816,12,2.00
62,040120000,Apartments over 20 units,2004,4569,8,3.00
63,040142000,Apartments 1-10 units,1955,3430,8,2.00
64,040144000,Apartments 1-10 units,1950,3410,8,2.00
65,040145000,Apartments 1-10 units,1950,3322,8,2.00
66,040152000,Clubhouse,1969,3442,12,1.00
67,040152000,Clubhouse,1969,3442,12,1.00
