RecordID_Int,ParcelNumber,UseCode,Style,Grade,ExtWalls,Roof,Flooring,BsmtType,Heating,Fireplace,YearBuilt,NoOfStories,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,SqFootageFinishedLiving,Basement,FinishedBasement
3001,200259260,Vacant Land,,,,,,,,,,,,,,,,,0,0
3002,200259270,Vacant Land,,,,,,,,,,,,,,,,,0,0
3003,200259280,Vacant Land,,,,,,,,,,,,,,,,,0,0
3004,200259290,Vacant Land,,,,,,,,,,,,,,,,,0,0
3005,200259300,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,2,1966,1.00,9,4,0,3,0,1485,1485,1393
3006,200259301,Vacant Land,,,,,,,,,,,,,,,,,0,0
3007,200259310,Vacant Land,,,,,,,,,,,,,,,,,0,0
3008,200259320,Vacant Land,,,,,,,,,,,,,,,,,0,0
3009,200259330,Vacant Land,,,,,,,,,,,,,,,,,0,0
3010,200259340,Vacant Land,,,,,,,,,,,,,,,,,0,0
3011,200259350,Vacant Land,,,,,,,,,,,,,,,,,0,0
3012,200259360,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1965,1.00,6,3,1,1,0,1163,1163,0
3013,200259370,Vacant Land,,,,,,,,,,,,,,,,,0,0
3014,200259380,Vacant Land,,,,,,,,,,,,,,,,,0,0
3015,200259400,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,No Basement,Forced Air,1,1968,1.00,5,3,1,1,0,1019,0,0
3016,200259500,Duplex,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1965,1.00,10,4,0,3,1,1541,1541,729
3017,200259600,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1967,1.00,7,3,1,1,0,1215,1215,525
3018,200259700,Single Family,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1966,1.00,8,3,1,1,0,1161,1161,1161
3019,200259800,Single Family,Split-Foyer,B -,Brick Veneer,Architectural Shingles,Hardwood,Partial Basement,Forced Air,2,1967,1.00,10,5,1,2,0,1210,1150,1150
3020,200259900,Single Family-1 Conversion,1 Story,C,Brick Veneer,Shingles,Hardwood,Full Basement,Forced Air,1,1967,1.00,7,4,1,2,0,1160,1160,870
