objectid,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,year_built,gross_area,story_height,number_of_stories
2252,139128516,402,A 1,APT,NA,11TH,ST,NE,22902,R,PFAUTZ,2016-06-14T19:36:39.000Z,49774,570065000,Elementary Sch (Entire),1930,815,12,1
2184,21010074,243,NA,NA,NA,ZAN,RD,NA,22901,C,NA,NA,2184,560029200,Commercial,1963,1134,12,1
2186,84061285,117,NA,NA,NA,NORTH BAKER,ST,NA,22903,R,NA,NA,2186,5600404A0,Mini-warehouse,2000,400,12,1
2187,574316442,702,NA,NA,NA,WEST,ST,NA,22903,R,NA,NA,2187,5600404A0,Mini-warehouse,2000,21600,18,2
2188,600516730,302,NA,NA,NA,8TH,ST,NW,22903,R,NA,NA,2188,5600404A0,Mini-warehouse,2000,22376,18,2
2190,365414327,607,NA,NA,NA,WATSON,AVE,NA,22901,R,NA,NA,2190,5600404A0,Mini-warehouse,2000,400,12,1
2191,377114473,623,NA,NA,NA,WATSON,AVE,NA,22901,R,NA,NA,2191,5600404A0,Mini-warehouse,2000,21600,18,2
2196,89929351,1502,NA,NA,NA,SHORT 18TH,ST,NA,22902,R,NA,NA,2196,560042000,Office Building,1977,1618,10,2
2197,600416766,519,NA,NA,NA,LEXINGTON,AVE,NA,22902,R,NA,NA,2197,560043200,Commercial,2013,20023,16,0
2199,126975922,1453,NA,NA,NA,AVON,ST,NA,22902,R,NA,NA,2199,560044000,Office Building,1988,18000,12,2
2200,526515959,632,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2200,560044000,Office Building,1988,12000,24,1
2201,554116259,616,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2201,560044000,Office Building,1988,49500,24,1
2202,560816297,611,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2202,560044100,Office Building,1987,4000,10,1
2203,566816370,614,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2203,560044100,Office Building,1987,4000,12,1
2204,586416609,532,NA,NA,NA,PARK,ST,NA,22902,R,NA,NA,2204,560044100,Office Building,1987,1165,10,1
