objectid,lat,lon,bin,st_number,st_unit,unit_type,predir,st_name,suffix,postdir,zip,use_type,last_edited_user,last_edited_date,master_address_id,parcel_number,use_code,style,grade,ext_walls,roof,flooring,bsmt_type,heating,fireplace,year_built,no_of_stories,total_rooms,bedrooms,half_bathrooms,full_bathrooms,basement_garage,sq_footage_finished_living,basement,finished_basement
2184,38.06430922703468,-78.4881489553749,21010074,243,NA,NA,NA,ZAN,RD,NA,22901,C,NA,NA,2184,17A054400,Duplex,2 Story,B,Aluminum,Shingles,Other,Full Basement,Heat Pump,1,1990,2,9,5,1,3,0,1388,694,694
2186,38.02719285609324,-78.50380370127368,84061285,117,NA,NA,NA,NORTH BAKER,ST,NA,22903,R,NA,NA,2186,17A055000,Single Family,1 Story,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0,1947,1,5,2,0,2,0,1020,1020,500
2187,38.034769529453754,-78.4879780153458,574316442,702,NA,NA,NA,WEST,ST,NA,22903,R,NA,NA,2187,17A056000,Single Family,1 Story,C,Vinyl,Shingles,Hardwood,Cellar,Forced Air,0,1947,1,5,3,0,1,0,925,250,0
2644,38.03946362952809,-78.50018252414594,406414763,418,001,APT,NA,17TH,ST,NW,22903,R,PFAUTZ,2017-05-23T19:10:05Z,56339,190041000,Single Family,1.5 Story,C,Stucco,Shingles,Hardwood,No Basement,Floor Furnace,0,1927,1.5,8,5,0,1,0,1491,NA,NA
2252,-90,-152.64427050222758,139128516,402,A 1,APT,NA,11TH,ST,NE,22902,R,PFAUTZ,2016-06-14T19:36:39Z,49774,180017200,Single Family-1 Conversion,1 Story,C,Wood,Shingles,Hardwood,Full Basement,Forced Air,0,1954,1,7,3,0,2,0,878,878,439
2188,38.03404662908383,-78.48984120626228,600516730,302,NA,NA,NA,8TH,ST,NW,22903,R,NA,NA,2188,17A057000,Single Family,1.5 Story,C,Aluminum,Shingles,Hardwood,Full Basement,Forced Air,0,1947,1.5,6,3,0,1,0,1394,929,0
2190,38.040609558697746,-78.4702251544431,365414327,607,NA,NA,NA,WATSON,AVE,NA,22901,R,NA,NA,2190,17A059000,Single Family-1 Conversion,1.5 Story,C,Concrete Block,Shingles,Hardwood,Partial Basement,Forced Air,0,1947,1.5,8,4,0,3,0,2004,320,0
2191,38.04010023008715,-78.4691457376648,377114473,623,NA,NA,NA,WATSON,AVE,NA,22901,R,NA,NA,2191,17A060000,Single Family,1 Story,C,Vinyl,Shingles,Hardwood,Full Basement,Forced Air,0,1947,1,4,2,0,2,0,931,931,931
2197,38.03386131225182,-78.4724552535549,600416766,519,NA,NA,NA,LEXINGTON,AVE,NA,22902,R,NA,NA,2197,180001000,Single Family-1 Conversion,1 Story,C,Concrete Block,Shingles,Hardwood,No Basement,Gas Wall Unit,0,1940,1,4,2,0,1,0,925,NA,NA
2196,38.025830378605136,-78.46060486759616,89929351,1502,NA,NA,NA,SHORT 18TH,ST,NA,22902,R,NA,NA,2196,17A555000,Vacant Land,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2199,38.01730891605017,-78.4845200799034,126975922,1453,NA,NA,NA,AVON,ST,NA,22902,R,NA,NA,2199,180002000,Single Family,2 Story,B,Wood,Metal,None,Partial Basement,Hot Water Radiator,0,1915,2,10,6,0,3,0,2854,713,NA
