Lat,Lon,Address,Fire_final,Risk
38.06430923,-78.48814896,243 ZAN RD,0,1
38.02719286,-78.5038037,117 NORTH BAKER ST,0,2
38.03476953,-78.48797802,702 WEST ST,0,2
38.03946363,-78.50018252,418 17TH ST,0,1
-90,-152.6442705,402 11TH ST,0,1
38.03404663,-78.48984121,302 8TH ST,0,1
38.04060956,-78.47022515,607 WATSON AVE,0,1
38.04010023,-78.46914574,623 WATSON AVE,0,2
38.03386131,-78.47245525,519 LEXINGTON AVE,0,2
38.01730892,-78.48452008,1453 AVON ST,0,1
38.03610145,-78.47509239,632 PARK ST,0,1
38.0352679,-78.47509568,616 PARK ST,0,1
38.03519712,-78.47591629,611 PARK ST,0,1
38.03506918,-78.47495495,614 PARK ST,0,2
38.03433654,-78.47548841,532 PARK ST,0,1
38.0441402,-78.46658366,1011 COTTONWOOD RD,1,3
38.03429128,-78.47472218,620 FARISH ST,0,2
38.05134191,-78.49472696,1310 BLUE RIDGE RD,0,1
38.02135938,-78.51306915,111 HAMMOND ST,0,1
38.02187849,-78.51522318,2421 JEFFERSON PARK AVE,0,2
38.0410289,-78.47815609,1717 ALLIED ST,0,1
38.02926216,-78.47286297,210 10TH ST,0,1
38.02926216,-78.47286297,210 10TH ST,0,1
38.02135938,-78.51306915,111 HAMMOND ST,0,2
38.04001961,-78.48830284,925 HENRY AVE,0,2
38.04001961,-78.48830284,925 HENRY AVE,0,1
38.0221921,-78.51538219,2417 JEFFERSON PARK AVE,0,2
38.01945248,-78.51411125,2514 JEFFERSON PARK AVE,0,1
38.02926216,-78.47286297,210 10TH ST,0,1
38.02676873,-78.51226302,1910 JEFFERSON PARK AVE,0,2
38.01787638,-78.50829017,414 MOSELEY DR,0,1
38.02676873,-78.51226302,1910 JEFFERSON PARK AVE,0,2
38.04177274,-78.49517237,729 MADISON AVE,0,1
38.02065287,-78.51911518,218 HUNTLEY AVE,0,2
38.04203263,-78.49523824,753 MADISON AVE,0,1
38.02676873,-78.51226302,1910 JEFFERSON PARK AVE,0,1
38.01636573,-78.51489909,203 OLD LYNCHBURG RD,0,3
38.01692913,-78.51366626,115 MONTE VISTA AVE,0,1
38.01550865,-78.51396121,212 MONTE VISTA AVE,0,1
38.06115133,-78.47891212,1702 ESSEX RD,0,2
38.01552138,-78.51436203,213 MONTE VISTA AVE,0,1
-90,-152.6442705,322 6 1/2 ST,0,1
38.04105404,-78.47223037,517 250 BYP,0,1
38.03406096,-78.46510985,1221 HAZEL ST,0,1
38.03851646,-78.48601752,808 HENRY AVE,1,2
